"l3_key.x" "na_l3name" "ag_sum" "fed_sum" "usfs_sum" "blm_sum"
"1" "4  Cascades" "Cascades" 0.00461786961837057 0.269489858902043 0.206003607065749 0.0355093707610939
"2" "9  Eastern Cascades Slopes and Foothills" "Eastern Cascades Slopes and Foothills" 0.0552187872310631 0.176187880846928 0.0624038843113189 0.112634516517415
"3" "11  Blue Mountains" "Blue Mountains" 0.0299091201262856 0.433300854995664 0.14864128150923 0.285502216470948
"4" "17  Middle Rockies" "Middle Rockies" 0.03372337247976 0.543140389822406 0.343419711024785 0.151009127396574
"5" "5  Sierra Nevada" "Sierra Nevada" 0.000634674426333644 0.443544550606982 0.28340015610479 0.0450578929591094
"6" "19  Wasatch and Uinta Mountains" "Wasatch and Uinta Mountains" 0.0175531645258217 0.471483574778037 0.360593148755114 0.10968513785758
"7" "21  Southern Rockies" "Southern Rockies" 0.00762198960148383 0.398440200682477 0.245731750804876 0.14422063656512
"8" "16  Idaho Batholith" "Idaho Batholith" 0.00287555111239906 0.714064334168377 0.656380751943521 0.0685675186024829
"9" "42  Northwestern Glaciated Plains" "Northwestern Glaciated Plains" 0.450562768112879 0.104250547069972 7.83979004127147e-05 0.101393054120928
"10" "43  Northwestern Great Plains" "Northwestern Great Plains" 0.143141685141971 0.292237271166952 0.00506620057881086 0.273399296679053
"11" "25  High Plains" "High Plains" 0.438418748268478 0.0134911951316616 0.000507472163202029 0.0127939827736642
"12" "10  Columbia Plateau" "Columbia Plateau" 0.403106141036415 0.0685507333306838 0.00348711983733263 0.0495742322053287
"13" "80  Northern Basin and Range" "Northern Basin and Range" 0.0344715231593203 0.808218386595666 0.0291757169062849 0.764358499840034
"14" "18  Wyoming Basin" "Wyoming Basin" 0.0323337059899362 0.803338706896747 0.00594666817125796 0.799864888537809
"15" "13  Central Basin and Range" "Central Basin and Range" 0.0237366269029289 0.789167858717733 0.0603658614169664 0.727746346716698
"16" "20  Colorado Plateaus" "Colorado Plateaus" 0.0294566363670405 0.684607527605278 0.0183690469902459 0.660136071452921
"17" "22  Arizona/New Mexico Plateau" "Arizona/New Mexico Plateau" 0.0162075814229029 0.304593265181071 0.00582661901724557 0.274692970257404
"18" "12  Snake River Plain" "Snake River Plain" 0.284583412527728 0.517895285374491 0.000208170336565878 0.517684574232303
"19" "14  Mojave Basin and Range" "Mojave Basin and Range" 0.00257033831962871 0.667611879860136 0.0120206217293222 0.466173206974775
"20" "23  Arizona/New Mexico Mountains" "Arizona/New Mexico Mountains" 0.000128574897368671 0.28026492773978 0.16659540326997 0.10754061026654
