,Ecoregion,Lower 95%,Mean,Median,Upper 95%
1,Arizona/New Mexico Mountains,0.000196,0.068209,0.046845,0.226675
2,Arizona/New Mexico Plateau,0.000001,0.025524,0.005656,0.04312
3,Blue Mountains,0.000025,0.173133,0.148903,0.501876
4,Cascades,0.005499,0.220287,0.172986,0.66009
5,Central Basin and Range,0,0.062883,0.010302,0.144294
6,Colorado Plateaus,0,0.081453,0.018504,0.223436
7,Columbia Plateau,0.000178,0.144517,0.106729,0.479902
8,Eastern Cascades Slopes and Foothills,0.000042,0.160317,0.14417,0.464375
9,High Plains,0.007816,0.188427,0.151834,0.486955
10,Idaho Batholith,0.002501,0.236377,0.208381,0.741559
11,Middle Rockies,0.00018,0.273581,0.235786,0.848012
12,Mojave Basin and Range,0.000003,0.010752,0.001898,0.019688
13,Northern Basin and Range,0.000001,0.085531,0.021802,0.273114
14,Northwestern Glaciated Plains,0.008141,0.228449,0.18896,0.52173
15,Northwestern Great Plains,0.00009,0.213403,0.173076,0.586833
16,Sierra Nevada,0.003954,0.227694,0.208427,0.593946
17,Snake River Plain,0.000003,0.187239,0.121787,0.695117
18,Southern Rockies,0.000054,0.223967,0.179287,0.667304
19,Wasatch and Uinta Mountains,0.000104,0.296692,0.274075,0.801596
20,Wyoming Basin,0,0.092759,0.034347,0.317761
